1,212,346,69,139,0.06309
1,545,304,74,148,1.1392
1,225,128,96,193,1.066
1,806,158,96,193,2.4783
2,233,252,119,239,1.8288
2,308,253,123,247,1.0777
2,456,175,133,266,0.015206
3,537,324,77,155,0.005119
3,208,473,82,164,0.069696
3,678,36,81,163,0.012617
3,420,192,154,308,0.0081348
3,487,435,169,339,0.0056828
3,225,222,313,627,0.031683
4,252,-16,64,128,0.064522
4,288,168,82,165,0.11355
4,320,462,74,148,0.024688
4,280,228,215,430,0.75215
4,457,218,278,556,2.001
4,762,221,317,635,0.45841
5,617,390,71,142,0.38115
5,442,288,67,134,0.045465
5,291,-14,70,141,0.02163
5,281,332,86,173,0.20823
5,250,186,175,350,0.87203
5,486,211,239,479,1.3011
5,293,187,246,492,0.39999
6,1025,445,73,146,0.22413
6,1035,290,70,141,0.05372
6,462,544,125,250,0.12316
6,443,164,279,558,0.20468
6,206,191,311,622,0.1493
7,337,159,126,253,0.43811
7,409,216,73,147,0.3517
7,472,256,75,151,0.032429
7,665,108,77,154,0.16988
7,172,212,119,238,0.47112
7,508,146,139,279,0.082863
7,220,152,131,262,0.14295
7,450,139,140,280,0.051795
8,523,241,67,134,0.051017
8,901,202,101,202,0.57866
8,972,270,81,163,0.042402
8,947,156,107,215,0.25065
8,208,99,276,553,0.0028644
8,455,106,401,802,0.23874
9,219,228,75,150,0.19584
9,540,463,116,233,0.059326
9,-32,144,172,344,0.21273
9,482,183,153,307,0.23188
9,201,186,196,392,0.2553
10,929,314,107,214,0.1051
10,367,308,133,267,0.058144
10,603,314,129,259,0.10402
10,164,302,164,329,0.803
10,682,267,227,455,0.15646
11,136,290,76,153,0.34595
11,298,392,64,128,0.057816
11,473,260,81,163,0.054638
11,-29,119,94,189,0.0096437
11,360,429,202,404,0.052469
11,122,137,363,726,0.049452
12,521,437,67,135,0.04061
12,414,268,84,168,0.44381
12,658,506,81,163,0.02476
12,454,384,146,292,0.083279
12,312,148,345,691,0.05042
13,457,159,240,480,0.1142
13,345,154,294,588,0.085279
14,8,151,81,163,0.0039451
14,455,189,244,488,0.28401
15,119,151,145,291,0.43195
15,262,319,146,293,0.040741
15,411,318,150,300,0.16048
16,50,304,72,145,0.21405
16,79,94,83,167,0.045183
16,100,162,78,157,0.057719
17,509,234,78,156,0.36147
17,525,406,74,149,0.031251
17,534,218,198,396,0.39363
17,-11,235,109,218,0.060898
17,270,252,182,364,0.089794
17,458,224,185,370,0.43587
17,763,261,171,342,0.76943
17,180,246,182,365,0.84023
18,-10,310,70,141,0.016159
18,199,343,82,165,0.18019
18,134,125,214,429,0.27224
19,387,298,95,190,0.18798
19,1118,392,90,180,0.0068538
19,839,552,109,218,0.020533
19,704,568,204,409,0.01935
19,609,84,444,889,0.036741
20,248,216,100,201,0.1474
20,114,194,85,171,0.02922
20,369,196,124,248,0.40208
20,598,193,147,295,0.14222
20,290,217,122,245,0.055096
20,446,195,148,296,0.066576
21,275,544,64,128,0.0090151
21,145,128,429,858,0.031179
22,266,167,201,403,0.69207
23,881,232,64,128,0.008855
23,888,296,67,134,0.038045
23,693,136,153,307,0.45181
23,980,211,118,237,0.17982
23,366,126,155,310,0.3936
23,450,92,178,356,0.18899
23,755,92,182,364,0.3967
23,571,90,173,347,0.049151
23,133,110,222,444,0.4951
23,240,113,223,446,0.39098
24,478,357,84,169,0.10314
24,251,241,135,270,0.38011
24,160,246,130,261,0.76416
25,220,-13,64,128,0.0082427
25,780,411,64,128,0.0029874
25,866,272,155,310,0.5264
25,764,335,191,383,0.33987
25,197,-37,370,741,0.0052466
25,666,-20,403,807,0.0064188
27,758,-15,64,128,0.07837
27,123,198,77,154,0.054252
27,804,-19,70,141,0.032414
27,59,202,74,148,0.0025486
27,377,353,79,159,0.21887
27,219,387,101,203,0.047939
27,765,443,146,293,0.03564
27,701,248,158,317,0.03135
27,308,-32,169,339,0.011472
27,360,252,316,633,0.42983
27,157,-36,206,412,0.0035557
27,721,236,259,518,0.095658
27,520,212,341,682,0.26176
28,1228,529,65,131,0.090661
28,24,563,87,174,0.16498
28,744,186,107,214,0.1312
28,554,180,225,451,0.047459
28,646,174,216,432,0.023399
28,688,126,367,734,0.17046
28,21,173,356,713,0.27255
28,447,106,347,694,0.033706
29,411,429,73,146,0.12575
29,479,181,67,134,0.0040321
29,1125,305,77,155,0.045951
29,844,297,102,205,0.035867
29,689,124,113,227,0.020516
29,784,285,156,313,0.070729
29,578,216,172,345,0.066731
29,649,-35,221,442,0.050831
29,212,158,290,580,0.0020878
30,278,139,210,421,0.75322
31,388,407,106,213,0.016196
31,909,90,126,253,0.0051887
31,230,159,316,633,0.10935
32,337,159,132,265,3.1378
32,274,166,121,242,1.1609
32,202,168,125,251,0.88828
33,593,190,161,322,0.52972
34,369,348,65,130,0.011677
34,253,263,216,433,0.009509
35,455,221,70,140,0.019574
35,-18,410,81,162,0.12131
35,90,387,99,198,0.017602
35,32,332,104,208,0.020737
35,270,187,225,451,0.068363
36,543,-17,71,142,0.14187
36,503,263,67,134,0.028604
36,696,-14,67,135,0.029803
36,822,-14,67,134,0.050079
36,619,307,86,173,0.39389
36,652,306,86,173,0.80029
36,243,292,105,211,0.065907
37,789,-13,70,141,0.0091167
37,901,268,99,198,0.0063841
37,968,198,114,229,0.012831
37,753,177,147,295,0.06442
37,376,214,201,403,0.10514
37,267,187,204,409,0.055117
37,718,187,214,428,0.042469
38,874,517,87,175,0.068179
38,155,163,208,416,0.12274
38,887,432,201,402,0.35292
38,736,429,201,403,0.0087054
38,198,374,231,463,0.090553
38,543,324,272,545,0.21524
38,326,294,289,578,0.073949
39,249,163,175,350,0.15004
39,157,151,183,367,0.84793
39,656,138,150,300,0.11804
39,745,162,146,293,0.18285
39,504,107,207,415,0.5476
40,256,296,67,134,0.0039084
40,294,114,209,419,0.3042
41,239,79,84,169,3.4072
42,639,609,75,151,0.036372
42,805,235,92,185,0.016214
42,774,322,91,182,0.064162
42,622,582,127,255,0.021088
42,478,121,411,822,0.0092556
43,84,440,64,128,0.01623
43,165,207,66,132,0.11307
43,686,316,67,134,0.047373
43,-9,411,74,148,0.041565
43,132,194,74,148,0.18976
43,285,430,78,156,0.03147
43,777,57,89,178,0.73846
43,694,63,114,229,0.0045166
43,-3,243,321,643,0.05006
43,356,270,297,595,0.049632
44,781,92,77,154,0.33325
44,164,240,68,136,0.036411
44,-21,119,74,148,0.0056979
44,723,394,100,200,0.28399
44,585,300,139,279,0.31807
44,110,649,90,180,0.0085087
44,988,41,90,180,0.0025432
44,1084,227,127,255,0.23236
44,-34,268,120,241,0.0082543
44,884,-28,239,478,0.0093557
44,624,12,458,916,0.049284
45,1137,368,67,134,0.009183
45,299,192,85,171,0.0096111
45,355,291,116,233,0.0072751
45,389,213,136,273,0.050658
45,396,160,292,584,0.36849
46,11,201,196,392,2.3321
46,822,238,79,159,0.030547
46,-30,140,103,206,0.24388
46,461,113,120,241,0.014178
46,174,233,179,358,0.88879
47,607,-16,64,128,0.044984
47,759,287,64,128,0.058456
47,572,329,196,392,1.4184
47,474,327,142,285,0.48657
47,772,348,201,403,0.75898
47,890,362,121,242,1.2332
47,214,210,146,293,0.020099
48,132,405,65,130,0.286
48,288,669,104,208,0.009277
48,814,408,192,384,0.41378
48,380,334,225,451,0.30545
48,182,-28,133,266,0.0062593
48,710,406,177,354,0.76794
48,890,415,194,389,0.76345
48,1014,274,154,308,0.004471
48,-53,127,178,356,0.00020779
48,562,175,304,609,0.038276
49,110,576,139,279,0.008586
49,1024,-34,178,356,0.01092
49,125,192,353,706,0.017278
50,341,162,137,274,1.3411
51,92,294,77,155,0.020943
51,192,131,116,232,1.4437
51,-26,218,154,308,0.006068
51,38,124,161,323,0.0016992
52,171,186,116,232,1.1605
53,103,-13,94,189,0.024125
53,55,-20,374,748,0.14129
54,39,42,239,479,0.5522
55,266,68,117,234,0.24631
55,261,15,227,454,1.4038
56,338,161,74,149,0.041723
56,110,30,174,348,0.26228
57,15,30,157,315,0.58225
57,138,45,153,306,0.42808
58,86,-23,382,765,0.015279
59,815,517,83,166,0.14745
61,340,87,99,198,0.014022
61,214,-30,389,778,0.013404
62,119,80,305,610,0.1382
65,566,129,117,234,0.058312
65,627,112,148,296,0.33016
65,506,38,328,657,0.21244
66,579,364,64,128,0.0070613
66,513,94,81,163,0.03247
66,589,122,134,268,0.069362
66,424,-10,369,738,0.073306
67,307,365,114,229,0.024369
67,192,-27,353,706,0.0074439
68,363,-18,81,163,0.0075006
68,374,122,152,305,0.077408
68,362,37,325,650,1.0147
69,305,318,101,203,0.050919
69,645,-20,120,241,0.0015415
69,123,-20,126,253,0.010825
69,198,31,271,543,0.55938
70,-19,383,72,144,0.084792
70,404,15,134,269,0.044741
70,230,-5,290,580,0.30956
71,424,32,293,587,0.06597
72,804,84,64,128,0.029254
72,167,272,77,155,0.022371
72,116,11,83,166,0.16354
72,618,134,86,173,0.038738
72,261,10,93,186,0.093107
72,543,-28,114,229,0.048029
72,708,-27,123,246,0.1478
72,-38,72,154,308,0.011373
72,112,55,314,628,0.8199
72,432,-24,169,339,0.011101
73,788,-12,64,128,0.0019122
73,226,-25,87,174,0.46291
73,304,-17,89,179,0.31128
73,567,176,118,237,0.24311
73,732,290,120,241,0.0028815
73,-32,287,126,253,0.0065688
73,819,279,131,263,0.0066723
73,699,156,135,271,0.039889
73,485,355,141,282,0.0099158
73,446,138,213,427,0.031601
73,223,-16,375,750,0.016308
74,710,116,101,202,0.081483
74,301,128,177,355,0.013432
74,451,131,218,436,0.082181
75,126,29,77,155,0.048535
75,450,60,227,454,0.040192
75,-19,-19,336,672,0.01295
